,date,entry,type,amount,state,district,block,gp,N_vil
24,2015-07-05,Payment,Expenditures,825,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
25,2015-07-05,Receipt,Direct Receipts,"3,440",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
26,2015-07-17,Payment,Expenditures,"2,615",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
27,2015-08-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
28,2015-08-05,Payment,Expenditures,860,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
29,2015-08-05,Payment,Expenditures,"34,205",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
30,2015-08-05,Payment,Expenditures,"5,700",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
31,2015-08-05,Receipt,Direct Receipts,"3,475",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
32,2015-08-24,Payment,Expenditures,"1,520",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
33,2015-08-24,Receipt,Direct Receipts,"250,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
34,2015-08-24,Payment,Expenditures,"2,615",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
35,2015-08-24,Payment,Expenditures,"1,470",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
36,2015-08-24,Receipt,Direct Receipts,"1,470",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
37,2015-08-24,Receipt,Direct Receipts,"617,663",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
38,2015-09-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
39,2015-09-08,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
40,2015-09-08,Receipt,Direct Receipts,"24,960",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
41,2015-09-08,Payment,Expenditures,900,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
42,2015-09-08,Receipt,Direct Receipts,"3,515",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
43,2015-09-08,Payment,Expenditures,600,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
44,2015-09-28,Receipt,Direct Receipts,"2,584",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
45,2015-09-28,Receipt,Direct Receipts,"5,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
46,2015-09-28,Payment,Expenditures,"1,060",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
47,2015-09-28,Receipt,Direct Receipts,"5,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
48,2015-09-28,Payment,Expenditures,"2,615",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
49,2015-10-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
50,2015-11-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
51,2015-12-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
52,2015-12-04,Receipt,Direct Receipts,"3,675",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
53,2015-12-04,Receipt,Direct Receipts,"2,614",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
54,2015-12-10,Payment,Expenditures,"18,600",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
55,2015-12-10,Payment,Expenditures,"6,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
56,2015-12-16,Payment,Expenditures,"2,079",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
57,2015-12-17,Payment,Expenditures,"2,062",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
58,2015-12-17,Receipt,Direct Receipts,318,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
59,2015-12-19,Payment,Expenditures,"300,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
60,2015-12-20,Receipt,Direct Receipts,"4,965",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
61,2015-12-20,Payment,Expenditures,318,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
62,2015-12-25,Receipt,Direct Receipts,"9,872",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
63,2015-12-25,Receipt,Direct Receipts,"17,483",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
64,2016-01-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
65,2016-01-05,Payment,Expenditures,"1,549",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
66,2016-01-07,Receipt,Direct Receipts,"4,965",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
67,2016-01-12,Receipt,Direct Receipts,"13,229",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
68,2016-01-12,Payment,Expenditures,"200,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
69,2016-01-20,Receipt,Direct Receipts,"1,539",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
70,2016-01-20,Payment,Expenditures,"43,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
71,2016-01-29,Receipt,Direct Receipts,"269,978",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
72,2016-02-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
73,2016-02-04,Payment,Expenditures,"1,556",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
74,2016-02-08,Receipt,Direct Receipts,"5,026",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
75,2016-02-25,Receipt,Direct Receipts,"617,243",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
76,2016-02-25,Payment,Expenditures,"11,520",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
77,2016-02-25,Payment,Expenditures,"1,809",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
78,2016-02-25,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
79,2016-02-25,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
80,2016-02-25,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
81,2016-02-25,Receipt,Direct Receipts,"19,593",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
82,2016-03-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
83,2016-03-04,Receipt,Direct Receipts,"6,144",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
84,2016-03-15,Payment,Expenditures,"1,841",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
85,2016-03-16,Receipt,Direct Receipts,"21,130",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
86,2016-03-30,Payment,Expenditures,"78,176",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
87,2016-03-30,Payment,Expenditures,"4,934",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
88,2016-03-30,Payment,Expenditures,"7,011",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
89,2016-03-31,Receipt,Direct Receipts,"2,163",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
90,2016-03-31,Receipt,Direct Receipts,"8,780",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
91,2015-04-01,Opening Balance,Balance,"2,472,444.44",ODISHA,ANUGUL,ANUGUL,ANTULA,10
92,2015-05-01,Payment,Expenditures,"4,203",ODISHA,ANUGUL,ANUGUL,ANTULA,10
93,2015-05-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
94,2015-06-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
95,2015-06-02,Receipt,Direct Receipts,"4,193",ODISHA,ANUGUL,ANUGUL,ANTULA,10
96,2015-06-02,Payment,Expenditures,"4,193",ODISHA,ANUGUL,ANUGUL,ANTULA,10
97,2015-06-04,Payment,Expenditures,"349,187",ODISHA,ANUGUL,ANUGUL,ANTULA,10
98,2015-06-05,Receipt,Direct Receipts,"4,290",ODISHA,ANUGUL,ANUGUL,ANTULA,10
99,2015-06-09,Receipt,Direct Receipts,"165,900",ODISHA,ANUGUL,ANUGUL,ANTULA,10
100,2015-07-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
101,2015-07-01,Payment,Expenditures,"4,205",ODISHA,ANUGUL,ANUGUL,ANTULA,10
102,2015-07-03,Receipt,Direct Receipts,"25,200",ODISHA,ANUGUL,ANUGUL,ANTULA,10
103,2015-07-03,Payment,Expenditures,"200,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
104,2015-07-03,Payment,Expenditures,"26,698",ODISHA,ANUGUL,ANUGUL,ANTULA,10
105,2015-07-03,Receipt,Direct Receipts,"12,825",ODISHA,ANUGUL,ANUGUL,ANTULA,10
106,2015-07-05,Receipt,Direct Receipts,"6,295",ODISHA,ANUGUL,ANUGUL,ANTULA,10
107,2015-07-05,Payment,Expenditures,"1,550",ODISHA,ANUGUL,ANUGUL,ANTULA,10
108,2015-07-25,Receipt,Direct Receipts,510,ODISHA,ANUGUL,ANUGUL,ANTULA,10
109,2015-07-25,Payment,Expenditures,"5,605",ODISHA,ANUGUL,ANUGUL,ANTULA,10
110,2015-08-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
111,2015-08-05,Receipt,Direct Receipts,"4,925",ODISHA,ANUGUL,ANUGUL,ANTULA,10
112,2015-08-05,Payment,Expenditures,114,ODISHA,ANUGUL,ANUGUL,ANTULA,10
113,2015-08-05,Payment,Expenditures,"5,412",ODISHA,ANUGUL,ANUGUL,ANTULA,10
114,2015-08-10,Receipt,Direct Receipts,"9,727",ODISHA,ANUGUL,ANUGUL,ANTULA,10
115,2015-08-10,Receipt,Direct Receipts,"741,196",ODISHA,ANUGUL,ANUGUL,ANTULA,10
116,2015-08-28,Receipt,Direct Receipts,510,ODISHA,ANUGUL,ANUGUL,ANTULA,10
117,2015-09-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
118,2015-09-05,Receipt,Direct Receipts,"4,670",ODISHA,ANUGUL,ANUGUL,ANTULA,10
119,2015-09-10,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
120,2015-09-10,Receipt,Direct Receipts,"2,050",ODISHA,ANUGUL,ANUGUL,ANTULA,10
121,2015-09-10,Receipt,Direct Receipts,750,ODISHA,ANUGUL,ANUGUL,ANTULA,10
122,2015-09-10,Receipt,Direct Receipts,"2,050",ODISHA,ANUGUL,ANUGUL,ANTULA,10
123,2015-09-10,Receipt,Direct Receipts,540,ODISHA,ANUGUL,ANUGUL,ANTULA,10
124,2015-09-10,Receipt,Direct Receipts,540,ODISHA,ANUGUL,ANUGUL,ANTULA,10
125,2015-09-10,Receipt,Direct Receipts,740,ODISHA,ANUGUL,ANUGUL,ANTULA,10
126,2015-09-16,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
127,2015-09-16,Payment,Expenditures,"2,380",ODISHA,ANUGUL,ANUGUL,ANTULA,10
128,2015-09-16,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
129,2015-09-16,Receipt,Direct Receipts,"275,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
130,2015-09-16,Receipt,Direct Receipts,"1,761",ODISHA,ANUGUL,ANUGUL,ANTULA,10
131,2015-09-28,Payment,Expenditures,"4,701",ODISHA,ANUGUL,ANUGUL,ANTULA,10
132,2015-10-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
133,2015-10-22,Receipt,Direct Receipts,"6,370",ODISHA,ANUGUL,ANUGUL,ANTULA,10
134,2015-10-22,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,ANTULA,10
135,2015-11-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
136,2015-12-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
137,2015-12-05,Receipt,Direct Receipts,150,ODISHA,ANUGUL,ANUGUL,ANTULA,10
138,2015-12-16,Payment,Expenditures,"21,065",ODISHA,ANUGUL,ANUGUL,ANTULA,10
139,2015-12-17,Payment,Expenditures,"3,647",ODISHA,ANUGUL,ANUGUL,ANTULA,10
140,2015-12-22,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,ANTULA,10
141,2015-12-22,Receipt,Direct Receipts,"4,855",ODISHA,ANUGUL,ANUGUL,ANTULA,10
142,2015-12-29,Payment,Expenditures,"1,300",ODISHA,ANUGUL,ANUGUL,ANTULA,10
143,2015-12-29,Payment,Expenditures,"249,680",ODISHA,ANUGUL,ANUGUL,ANTULA,10
144,2015-12-29,Payment,Expenditures,"250,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
145,2015-12-29,Payment,Expenditures,"147,668",ODISHA,ANUGUL,ANUGUL,ANTULA,10
146,2015-12-29,Payment,Expenditures,"1,740",ODISHA,ANUGUL,ANUGUL,ANTULA,10
147,2015-12-29,Receipt,Direct Receipts,"11,026",ODISHA,ANUGUL,ANUGUL,ANTULA,10
148,2015-12-29,Payment,Expenditures,"1,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
149,2015-12-29,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
150,2015-12-29,Payment,Expenditures,"12,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
151,2016-01-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
152,2016-01-02,Payment,Expenditures,"1,390",ODISHA,ANUGUL,ANUGUL,ANTULA,10
153,2016-01-05,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
154,2016-01-13,Receipt,Direct Receipts,"4,855",ODISHA,ANUGUL,ANUGUL,ANTULA,10
155,2016-01-13,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,ANTULA,10
156,2016-01-29,Receipt,Direct Receipts,"299,600",ODISHA,ANUGUL,ANUGUL,ANTULA,10
157,2016-01-31,Receipt,Direct Receipts,"3,755",ODISHA,ANUGUL,ANUGUL,ANTULA,10
158,2016-01-31,Payment,Expenditures,100,ODISHA,ANUGUL,ANUGUL,ANTULA,10
159,2016-01-31,Payment,Expenditures,750,ODISHA,ANUGUL,ANUGUL,ANTULA,10
160,2016-01-31,Payment,Expenditures,500,ODISHA,ANUGUL,ANUGUL,ANTULA,10
161,2016-02-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
162,2016-02-04,Receipt,Direct Receipts,"41,278",ODISHA,ANUGUL,ANUGUL,ANTULA,10
163,2016-02-20,Receipt,Direct Receipts,"1,000,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
164,2016-02-20,Receipt,Direct Receipts,185,ODISHA,ANUGUL,ANUGUL,ANTULA,10
165,2016-02-24,Receipt,Direct Receipts,"17,499",ODISHA,ANUGUL,ANUGUL,ANTULA,10
166,2016-02-24,Receipt,Direct Receipts,"740,692",ODISHA,ANUGUL,ANUGUL,ANTULA,10
167,2016-03-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANTULA,10
168,2016-03-11,Payment,Expenditures,"1,502",ODISHA,ANUGUL,ANUGUL,ANTULA,10
169,2016-03-11,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANTULA,10
170,2016-03-26,Receipt,Direct Receipts,"5,520",ODISHA,ANUGUL,ANUGUL,ANTULA,10
171,2016-03-31,Receipt,Direct Receipts,"7,912",ODISHA,ANUGUL,ANUGUL,ANTULA,10
172,2016-03-31,Payment,Expenditures,"4,198",ODISHA,ANUGUL,ANUGUL,ANTULA,10
173,2015-04-01,Opening Balance,Balance,"1,166,726.65",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
174,2015-04-01,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
175,2015-04-06,Receipt,Direct Receipts,"5,400",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
176,2015-04-28,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
177,2015-04-28,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
178,2015-05-01,Payment,Expenditures,"100,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
179,2015-05-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
180,2015-05-05,Receipt,Direct Receipts,"11,306",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
181,2015-05-05,Payment,Expenditures,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
182,2015-05-05,Payment,Expenditures,"188,694",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
183,2015-05-05,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
184,2015-05-08,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
185,2015-05-10,Receipt,Direct Receipts,"5,360",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
186,2015-05-21,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
187,2015-05-21,Receipt,Direct Receipts,"2,740",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
188,2015-05-21,Payment,Expenditures,"30,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
189,2015-05-26,Receipt,Direct Receipts,"1,560",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
190,2015-05-26,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
191,2015-05-26,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
192,2015-06-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
193,2015-06-06,Receipt,Direct Receipts,"5,315",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
194,2015-06-09,Payment,Expenditures,"4,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
195,2015-06-09,Payment,Expenditures,"4,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
196,2015-06-09,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
197,2015-06-09,Payment,Expenditures,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
198,2015-06-10,Payment,Expenditures,"50,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
199,2015-06-21,Receipt,Direct Receipts,580,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
200,2015-06-21,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
201,2015-06-21,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
202,2015-06-30,Receipt,Direct Receipts,"3,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
203,2015-06-30,Receipt,Direct Receipts,"1,600",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
204,2015-06-30,Receipt,Direct Receipts,"1,100",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
205,2015-06-30,Receipt,Direct Receipts,"3,100",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
206,2015-06-30,Receipt,Direct Receipts,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
207,2015-07-01,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
208,2015-07-01,Payment,Expenditures,"8,640",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
209,2015-07-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
210,2015-07-01,Payment,Expenditures,"1,460",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
211,2015-07-01,Payment,Expenditures,500,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
212,2015-07-06,Receipt,Direct Receipts,"5,675",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
213,2015-07-07,Payment,Expenditures,"50,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
214,2015-07-07,Receipt,Direct Receipts,"180,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
215,2015-07-07,Receipt,Direct Receipts,"5,103",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
216,2015-07-16,Payment,Expenditures,"2,280",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
217,2015-07-16,Receipt,Direct Receipts,"2,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
218,2015-07-16,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
219,2015-07-16,Payment,Expenditures,"1,200",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
220,2015-07-16,Payment,Expenditures,"2,280",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
221,2015-07-16,Payment,Expenditures,500,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
222,2015-07-16,Payment,Expenditures,"2,280",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
223,2015-07-16,Payment,Expenditures,"2,280",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
224,2015-07-16,Payment,Expenditures,900,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
225,2015-07-16,Payment,Expenditures,"4,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
226,2015-07-16,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
227,2015-07-16,Receipt,Direct Receipts,"8,900",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
228,2015-07-23,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
229,2015-07-23,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
230,2015-07-31,Payment,Expenditures,500,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
231,2015-07-31,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
232,2015-08-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
233,2015-08-07,Receipt,Direct Receipts,"5,520",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
234,2015-08-08,Receipt,Direct Receipts,"11,594",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
235,2015-08-08,Receipt,Direct Receipts,"25,200",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
236,2015-08-08,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
237,2015-08-10,Receipt,Direct Receipts,"741,196",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
238,2015-08-15,Payment,Expenditures,480,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
239,2015-08-15,Payment,Expenditures,100,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
240,2015-08-15,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
241,2015-08-21,Receipt,Direct Receipts,"1,040",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
242,2015-08-22,Receipt,Direct Receipts,"275,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
243,2015-08-31,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
244,2015-08-31,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
245,2015-09-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
246,2015-09-07,Receipt,Direct Receipts,"5,625",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
247,2015-09-07,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
248,2015-09-07,Receipt,Direct Receipts,"34,560",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
249,2015-09-28,Payment,Expenditures,"4,559",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
